D:\Anaconda3\envs\pytorch-minist\python.exe D:/Projects/pytorch-minist/minist.py
using cuda...

Test set: Average loss: 2.3060, Accuracy: 1028/10000 (10.28%)
Train Epoch: 2 (30%)	Loss: 0.067973
Train Epoch: 2 (31%)	Loss: 0.140896
Train Epoch: 2 (32%)	Loss: 0.058121
Train Epoch: 2 (33%)	Loss: 0.102599
Train Epoch: 2 (34%)	Loss: 0.190560
Train Epoch: 2 (35%)	Loss: 0.078342
Train Epoch: 2 (36%)	Loss: 0.124878
Train Epoch: 2 (37%)	Loss: 0.185710
Train Epoch: 2 (38%)	Loss: 0.124844
Train Epoch: 2 (39%)	Loss: 0.041063
Train Epoch: 2 (41%)	Loss: 0.035741
Train Epoch: 2 (42%)	Loss: 0.171999
Train Epoch: 2 (43%)	Loss: 0.077285
Train Epoch: 2 (44%)	Loss: 0.055758
Train Epoch: 2 (45%)	Loss: 0.178022
Train Epoch: 2 (46%)	Loss: 0.071100
Train Epoch: 2 (47%)	Loss: 0.091362
Train Epoch: 2 (48%)	Loss: 0.089583
Train Epoch: 2 (49%)	Loss: 0.077262
Train Epoch: 2 (50%)	Loss: 0.094667
Train Epoch: 2 (51%)	Loss: 0.053886
Train Epoch: 2 (52%)	Loss: 0.043181
Train Epoch: 2 (53%)	Loss: 0.085497
Train Epoch: 2 (54%)	Loss: 0.108683
Train Epoch: 2 (55%)	Loss: 0.024188
Train Epoch: 2 (57%)	Loss: 0.020734
Train Epoch: 2 (58%)	Loss: 0.197752
Train Epoch: 2 (59%)	Loss: 0.058188
Train Epoch: 2 (60%)	Loss: 0.108212
Train Epoch: 2 (61%)	Loss: 0.030396
Train Epoch: 2 (62%)	Loss: 0.032980
Train Epoch: 2 (63%)	Loss: 0.130028
Train Epoch: 2 (64%)	Loss: 0.035919
Train Epoch: 2 (65%)	Loss: 0.154002
Train Epoch: 2 (66%)	Loss: 0.073768
Train Epoch: 2 (67%)	Loss: 0.043261
